customer,recency,frequency,monetary,R,F,M,RFM Score
Aaliyah Carroll,4,1,31,5,1,1,511
Aaliyah Padberg,21,1,76,4,1,4,414
Aarav Hyatt,43,1,40,3,1,2,312
Aarav Kassulke,70,1,38,1,1,1,111
Aarav Kutch,72,1,26,1,1,1,111
Aaron Gutmann,53,1,77,2,1,4,214
Aaron Stracke,4,3,170,5,5,5,555
Abagail Weissnat,12,2,76,4,4,4,444
Abagail Windler PhD,46,1,55,2,1,2,212
Abb Armstrong,37,2,90,3,4,4,344
Abbey Hettinger,16,1,59,4,1,3,413
Abbey O'Reilly DVM,58,1,71,2,1,3,213
Abbie Mayer,68,2,98,1,4,4,144
Abbie Moore,5,1,69,5,1,3,513
Abbie Zemlak MD,77,1,37,1,1,1,111
Abbott Braun,72,3,196,1,5,5,155
Abby Kozey PhD,21,1,61,4,1,3,413
Abby Watsica,35,1,35,3,1,1,311
Abdiel Hoppe,12,2,104,4,4,4,444
Abdiel Konopelski,20,1,74,4,1,3,413
Abdul Ernser,19,1,63,4,1,3,413
Abdul Ferry,4,1,53,5,1,2,512
Abdullah Pfannerstill,39,1,76,3,1,4,314
Abel Hintz,29,4,206,3,5,5,355
Abie Greenfelder DVM,26,1,58,4,1,2,412
Abigail Deckow,70,1,58,1,1,2,112
Abigail Roberts,85,1,53,1,1,2,112
Abigale Leannon,47,1,80,2,1,4,214
Abigale McCullough,4,2,100,5,4,4,544
Abigayle Batz MD,44,1,71,3,1,3,313
Abigayle Reinger,34,3,134,3,5,5,355
Abner Bergnaum,78,1,67,1,1,3,113
Ace Ernser,74,5,202,1,5,5,155
Acey Altenwerth,76,1,28,1,1,1,111
Acey Altenwerth Jr.,89,1,64,1,1,3,113
Acey Brakus,67,1,53,2,1,2,212
Acey Konopelski PhD,11,1,54,4,1,2,412
Acey Strosin II,14,1,54,4,1,2,412
Acey Wisoky,90,1,20,1,1,1,111
Acie Buckridge,88,1,45,1,1,2,112
Acie Dickinson,47,2,92,2,4,4,244
Acy Aufderhar,84,1,65,1,1,3,113
Ada Bergnaum,12,1,48,4,1,2,412
Ada Hermann,57,2,101,2,4,4,244
Adah Turcotte,89,1,27,1,1,1,111
Adalberto Daniel,14,4,221,4,5,5,455
Adalberto White,18,1,57,4,1,2,412
Adaline Lehner,30,1,48,3,1,2,312
Adaline Rogahn,39,2,100,3,4,4,344
Adalyn McClure,46,2,104,2,4,4,244
Adams Romaguera III,4,1,68,5,1,3,513
Adams Windler,26,1,32,4,1,1,411
Adan Berge,46,1,59,2,1,3,213
Adan Denesik,45,1,33,3,1,1,311
Add Jacobson,5,5,248,5,5,5,555
Add Senger,16,2,121,4,4,4,444
Adda Corkery,43,2,97,3,4,4,344
Addison Bogan DVM,89,1,38,1,1,1,111
Addison Cole,20,5,168,4,5,5,455
Addison Kihn,12,2,84,4,4,4,444
Addisyn Becker,80,1,28,1,1,1,111
Addisyn Halvorson,26,1,79,4,1,4,414
Addisyn Schneider DVM,83,1,47,1,1,2,112
Addisyn Wuckert,45,1,70,3,1,3,313
Addyson Cole,31,1,48,3,1,2,312
Addyson Jacobs,5,1,25,5,1,1,511
Adel Casper,50,1,31,2,1,1,211
Adel Hayes,6,3,156,5,5,5,555
Adela Kemmer,44,1,41,3,1,2,312
Adelard Dare,87,1,29,1,1,1,111
Adelard Gutkowski,6,2,110,5,4,4,544
Adelard Lubowitz,27,1,30,3,1,1,311
Adelbert Nitzsche,6,2,121,5,4,4,544
Adele Konopelski,0,2,90,5,4,4,544
Adele Purdy,3,2,112,5,4,4,544
Adelia Johns MD,6,1,59,5,1,3,513
Adelina Frami,1,3,158,5,5,5,555
Adelina Mosciski,8,1,44,5,1,2,512
Adelina Parker,73,2,66,1,4,3,143
Adelina Terry,12,1,41,4,1,2,412
Adella Emard,37,1,55,3,1,2,312
Adella Kling,73,1,50,1,1,2,112
Adelle Barton,59,2,52,2,4,2,242
Adelle Vandervort MD,30,2,149,3,4,5,345
Adelynn Sipes,5,1,33,5,1,1,511
Aden Lesch Sr.,32,1,37,3,1,1,311
Adilene Macejkovic,47,1,20,2,1,1,211
Adin Ledner,70,1,35,1,1,1,111
Adina Cummerata,47,1,20,2,1,1,211
Adina Wyman,14,1,25,4,1,1,411
Adlai Boyle,38,2,97,3,4,4,344
Adlai Mills,14,1,24,4,1,1,411
Adlai Schimmel,17,1,44,4,1,2,412
Admiral Glover,84,1,59,1,1,3,113
Admiral Keebler III,65,1,77,2,1,4,214
Admiral Lueilwitz,84,1,58,1,1,2,112
Admiral Schuppe PhD,3,5,239,5,5,5,555
Admiral Senger,6,1,66,5,1,3,513
Adolf Emard,90,1,71,1,1,3,113
Adolf Mosciski Jr.,53,2,102,2,4,4,244
Adolfo Tillman,66,2,117,2,4,4,244
Adolph Runolfsdottir,67,1,63,2,1,3,213
Adolphus Stiedemann,31,3,150,3,5,5,355
Adonis Hand,4,5,284,5,5,5,555
Adonis Hansen,43,2,83,3,4,4,344
Adonis Reinger,46,1,68,2,1,3,213
Adria Swaniawski,47,1,52,2,1,2,212
Adrian Kozey,48,2,88,2,4,4,244
Adriana Satterfield MD,15,1,42,4,1,2,412
Adrianne Johnston PhD,81,1,26,1,1,1,111
Adrien Gorczany,44,1,77,3,1,4,314
